"filename", "language", "JavaScript", "TypeScript JSX", "JSON", "CSS", "TypeScript", "comment", "blank", "total"
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\5cf37d63cfe8d600.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\5ea620540924ee60.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\5ff81fa1db133655.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\60527942db46d9b8.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\6088ea14f533caf0.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\611d7ddaf6eaaea5.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\629b8911cc520362.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\63971713ced1858f.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\64ce06dd8784dad5.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\6526ad0581466889.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\6542ad685ec8b80d.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\66d5ebd90917e4be.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\6b3302e462d47832.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\6c4c64dd3db346a4.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\6e00b59ed9168a3b.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\6e17eea08daa4461.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\6f49d563ee97279e.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\6f4e069acbdb7f44.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\704ada73f32ffcfe.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\705b809a0da72e0a.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\7117d69c4d8dd1f0.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\718317dae5cd0fbb.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\71b4169a9c09d80b.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\72539884909e2f51.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\72e8be227edd0633.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\74bf66b145b7f31a.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\7553387ad1cc69a3.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\76d95935b394a037.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\771791e9f93ad77e.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\7724e64c228ec499.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\788ddaeb2bb2bb7b.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\78b9918761b7ec60.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\7c100b06603ce490.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\7c3c6c0fb7269248.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\7e20b43409008cc0.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\80818ec3b62912ab.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\813daabf623bf7ff.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\82bcae466be0d753.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\830fc07e3aa56e50.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
