"filename", "language", "JSON with Comments", "JSON", "Markdown", "JavaScript", "TypeScript JSX", "TypeScript", "CSS", "HTML", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.93cccf4e68c8f5fa.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.94327a28070e9b59.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.949edd130e0d8b15.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.96ee604f28de5976.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.998bbd00e52b9ad6.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.9a3cb0f6c67b7b74.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.9a469bb35965f49b.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.9b177a6343dedfa5.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.9b7dfac18cc1ecab.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.a88718d08d250638.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.acceac5bfdb54fd8.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.b4935ee67ccb232c.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
