"filename", "language", "JavaScript", "TypeScript", "JSON with Comments", "Markdown", "JSON", "HTML", "TypeScript JSX", "CSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\525460c5e68e0ffe.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\527f319d3efb082f.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\633457081244afec._.hot-update.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\7539328b2011ded9.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\7adc1fe3bb0d6d03.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\8b0d77c6c93fef37.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\8ebad94ffaa7391c.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\a7f8091063e94060.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\dashboard\page.1e7a4e87f51341b7.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\dashboard\page.527f319d3efb082f.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\dashboard\page.7adc1fe3bb0d6d03.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\dashboard\page.c643151e7266789f.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\dashboard\page.f9d4f18f6f969d33.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\detections\page.1e7a4e87f51341b7.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\detections\page.527f319d3efb082f.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\detections\page.7adc1fe3bb0d6d03.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\detections\page.c643151e7266789f.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\detections\page.f9d4f18f6f969d33.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\help\page.1e7a4e87f51341b7.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\help\page.527f319d3efb082f.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\help\page.7adc1fe3bb0d6d03.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\help\page.c643151e7266789f.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\help\page.f9d4f18f6f969d33.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.11f1b1d943d71588.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.1e7a4e87f51341b7.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.24529a00ec2f742a.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.527f319d3efb082f.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.7adc1fe3bb0d6d03.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.c643151e7266789f.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.e39194b7bda3de92.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.f2bb6a6d75e88613.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.f458d298210365e3.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.f9d4f18f6f969d33.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
